Year-Month,Total Posts,Positive Posts,Negative Posts,Neutral Posts,Total Comments,Positive Comments,Negative Comments,Neutral Comments
2024-01,84,31,13,40,8695,4041,2067,2587
2024-02,37,10,12,15,3088,1409,775,904
2024-03,45,18,8,19,4678,2147,1126,1405
2024-04,38,22,5,11,1926,944,411,571
2024-05,29,16,9,4,997,509,182,306
2024-06,19,10,1,8,1196,531,288,377
2024-07,22,19,3,0,1301,619,320,362
2024-08,19,14,1,4,645,313,132,200
2024-09,32,18,5,9,1477,673,270,534
2024-10,25,16,7,2,3071,1465,646,960
2024-11,16,6,1,9,2952,1356,714,882
2024-12,2,2,0,0,118,50,28,40
