Year-Month,Total Posts,Positive Posts,Negative Posts,Neutral Posts,Total Comments,Positive Comments,Negative Comments,Neutral Comments
2020-01,7,6,1,0,86,47,20,19
2020-02,27,24,2,1,899,498,198,203
2020-03,28,14,14,0,1065,475,273,317
2020-04,13,7,6,0,347,177,95,75
2020-05,21,14,0,7,357,169,68,120
2020-06,16,6,10,0,691,281,200,210
2020-07,23,17,6,0,3728,1658,862,1208
2020-08,39,35,4,0,2947,1653,629,665
2020-09,20,19,1,0,700,345,190,165
2020-10,21,18,3,0,1248,604,249,395
2020-11,17,10,3,4,550,241,125,184
2020-12,12,11,0,1,1804,930,413,461
