Year-Month,Total Posts,Positive Posts,Negative Posts,Neutral Posts,Total Comments,Positive Comments,Negative Comments,Neutral Comments
2022-01,2,1,0,1,75,34,17,24
2022-02,4,4,0,0,257,86,91,80
2022-03,10,6,4,0,1516,591,422,503
2022-04,7,6,1,0,313,192,46,75
2022-05,8,2,3,3,268,118,75,75
2022-06,1,1,0,0,1,0,1,0
2022-07,8,8,0,0,401,223,81,97
2022-08,8,6,0,2,318,172,80,66
2022-09,9,5,0,4,2213,1064,485,664
2022-10,13,9,4,0,513,266,92,155
2022-11,1,0,0,1,39,22,9,8
2022-12,11,7,2,2,308,163,84,61
