Year-Month,Total Posts,Positive Posts,Negative Posts,Neutral Posts,Total Comments,Positive Comments,Negative Comments,Neutral Comments
2022-01,2,2,0,0,290,144,69,77
2022-02,6,6,0,0,170,90,28,52
2022-03,8,5,3,0,398,246,60,92
2022-04,10,6,1,3,241,141,50,50
2022-05,4,3,0,1,169,85,38,46
2022-06,3,0,3,0,159,78,38,43
2022-07,2,1,0,1,192,116,24,52
2022-08,4,3,0,1,1283,585,285,413
2022-09,11,7,3,1,1110,512,260,338
2022-10,7,6,0,1,481,290,74,117
2022-11,4,1,1,2,108,59,24,25
2022-12,6,2,0,4,577,262,163,152
